Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
,Business,Economy Class,Zurich to London,January 2017,2.0,2.0,1.0,1.0,3.0,,2,no
A320,Solo Leisure,Business Class,London Gatwick to Barcelona,January 2017,1.0,1.0,1.0,,1.0,,1,no
A320,Solo Leisure,Economy Class,SOF to LHR,January 2017,1.0,1.0,1.0,,2.0,,1,no
A380 / Boeing 777,Solo Leisure,Premium Economy,IAD to BCN via LHR,January 2017,5.0,5.0,5.0,,5.0,,5,yes
Boeing 747,Solo Leisure,Economy Class,YVR to LHR,January 2017,3.0,5.0,5.0,3.0,5.0,,4,yes
A320,Business,Economy Class,LHR to MXP,January 2017,1.0,1.0,1.0,1.0,2.0,1.0,3,no
,Couple Leisure,Economy Class,LGW to BGI,January 2017,4.0,5.0,1.0,4.0,4.0,,2,no
A380,Couple Leisure,Economy Class,London to Johannesburg,September 2016,4.0,2.0,1.0,3.0,2.0,,2,no
A320,Business,Economy Class,London to Zurich,January 2017,2.0,1.0,1.0,,2.0,,1,no
A321,Business,Economy Class,MAD to LHR,January 2017,2.0,3.0,1.0,1.0,3.0,1.0,1,no
Boeing 777,Solo Leisure,First Class,LHR to PHL,January 2017,5.0,4.0,4.0,4.0,4.0,,5,yes
A320,Business,Business Class,MLA to LGW,January 2017,2.0,3.0,,,3.0,,2,no
,Solo Leisure,Economy Class,London to Abuja,December 2016,1.0,1.0,1.0,1.0,1.0,,1,no
Boeing 747-400,Couple Leisure,First Class,LHR to CPT,January 2017,3.0,5.0,4.0,2.0,3.0,,3,no
,,First Class,LHR to ORD,January 2017,2.0,3.0,2.0,3.0,2.0,,2,no
Boeing 747 / A380,Solo Leisure,Business Class,SFO to JNB via LHR,January 2017,4.0,3.0,3.0,3.0,4.0,,3,yes
,Couple Leisure,Economy Class,Larnaca to London Heathrow,January 2017,3.0,5.0,1.0,1.0,5.0,1.0,1,no
A320,Couple Leisure,Economy Class,London to Manchester,August 2016,5.0,5.0,3.0,1.0,5.0,,3,yes
Boeing 787,Couple Leisure,Business Class,Lisbon to San Jose via London,October 2016,3.0,4.0,4.0,3.0,3.0,,4,yes
Boeing 747-400,Business,Premium Economy,LHR to PHX,August 2016,1.0,1.0,1.0,1.0,1.0,,1,no
Boeing 777,Couple Leisure,Business Class,Gatwick to Tampa,January 2017,3.0,3.0,2.0,2.0,1.0,,1,no
Boeing 747,Solo Leisure,Economy Class,Miami to London,January 2017,2.0,1.0,1.0,1.0,2.0,1.0,1,no
Boeing 747,Business,Economy Class,LHR to DXB,January 2017,2.0,2.0,1.0,2.0,1.0,,2,no
,Couple Leisure,Business Class,CDG to LHR,December 2016,2.0,3.0,2.0,,1.0,,1,no
Boeing 777,Couple Leisure,Business Class,BKK to CDG via LHR,January 2017,2.0,5.0,1.0,1.0,1.0,1.0,1,no
A320,Solo Leisure,Economy Class,GLA to LGW,December 2016,1.0,4.0,1.0,,4.0,,2,no
,Solo Leisure,Economy Class,BKK to LHR,January 2017,5.0,5.0,5.0,5.0,5.0,5.0,5,yes
Boeing 747-400,Couple Leisure,Business Class,LHR to CPT,January 2017,3.0,3.0,3.0,3.0,4.0,,3,no
Boeing 787-9,Solo Leisure,First Class,LHR to KUL,November 2016,3.0,1.0,1.0,3.0,3.0,,1,no
A320,Solo Leisure,Economy Class,LED to LHR,January 2017,3.0,4.0,1.0,1.0,4.0,,2,no
,Business,Economy Class,LGW to CUN,November 2016,2.0,2.0,1.0,3.0,2.0,,2,no
,Family Leisure,Premium Economy,PVG to ZRH via LHR,October 2016,1.0,1.0,,,1.0,,1,no
Boeing 777,Couple Leisure,Business Class,LGW to BGI,December 2016,1.0,1.0,1.0,1.0,1.0,,1,no
,Solo Leisure,Economy Class,JFK to LHR,January 2017,3.0,3.0,2.0,2.0,2.0,1.0,3,no
,Solo Leisure,Economy Class,London to Frankfurt,July 2016,4.0,4.0,3.0,,2.0,,2,no
,Business,Economy Class,ATH to LHR,January 2017,4.0,1.0,1.0,,3.0,,1,no
A320,Couple Leisure,Economy Class,FUE to LGW,January 2017,2.0,3.0,1.0,,4.0,,3,no
Boeing 777,Solo Leisure,Business Class,IAH to LHR,January 2017,4.0,2.0,4.0,4.0,4.0,,4,yes
Boeing 777,Couple Leisure,Business Class,LGW to CUN,December 2016,3.0,3.0,1.0,1.0,3.0,,2,no
,Family Leisure,Economy Class,LHR to DFW,December 2016,3.0,1.0,1.0,4.0,4.0,,2,no
Boeing 777,Solo Leisure,Business Class,LHR to HKG,January 2017,3.0,2.0,2.0,4.0,1.0,,1,no
,Business,Economy Class,LHR to PRG,January 2017,4.0,1.0,,,2.0,,1,no
A321,Solo Leisure,Business Class,LHR to AMM,January 2017,5.0,5.0,3.0,3.0,3.0,,4,yes
A320 / Boeing 767,Family Leisure,Economy Class,LHR to FCO,January 2017,4.0,5.0,4.0,,5.0,,4,yes
,Couple Leisure,Economy Class,London Heathrow to Miami,January 2017,3.0,1.0,1.0,1.0,1.0,,1,no
,Couple Leisure,Economy Class,LGW to BGI,January 2017,1.0,2.0,1.0,2.0,2.0,1.0,2,no
Boeing 787,Couple Leisure,Economy Class,KUL to LHR,December 2016,1.0,3.0,2.0,1.0,4.0,1.0,2,no
A320,Couple Leisure,Economy Class,ATH to LHR,January 2017,4.0,5.0,3.0,,5.0,,4,yes
,Solo Leisure,Economy Class,MAN to LAX via LHR,January 2017,2.0,3.0,2.0,1.0,1.0,,1,no
,Solo Leisure,Economy Class,MAN to LAS via LHR,December 2016,1.0,1.0,1.0,1.0,1.0,,1,no
Boeing 747,Family Leisure,Business Class,MIA to LHR,January 2017,1.0,4.0,3.0,3.0,4.0,,1,no
Boeing 777,Couple Leisure,Economy Class,SYD to LHR,December 2016,1.0,1.0,1.0,1.0,1.0,1.0,1,no
,Couple Leisure,Business Class,CDG to BKK via LHR,December 2016,2.0,4.0,1.0,1.0,1.0,,1,no
Boeing 777,Couple Leisure,Business Class,LHR to HKG,January 2017,1.0,4.0,4.0,2.0,3.0,,1,no
Boeing 787-9,Solo Leisure,Business Class,YYZ to LHR,December 2016,3.0,5.0,4.0,4.0,4.0,,4,yes
Boeing 777,Couple Leisure,Economy Class,LHR to LIM,December 2016,3.0,3.0,3.0,3.0,3.0,,3,yes
,Solo Leisure,Economy Class,ATH to LHR,January 2017,1.0,2.0,1.0,1.0,1.0,,1,no
Boeing 747-400,Solo Leisure,Economy Class,ARN to DEN via LHR,December 2016,3.0,4.0,2.0,1.0,1.0,,2,no
,Solo Leisure,Economy Class,IKA to LHR,January 2017,4.0,4.0,2.0,4.0,4.0,,3,no
Boeing 747,Solo Leisure,Economy Class,CUN to LGW,December 2016,3.0,4.0,2.0,3.0,4.0,,2,no
,Couple Leisure,Economy Class,MAD to YUL via LHR,December 2016,1.0,1.0,,,1.0,,1,no
Boeing 747-400,Couple Leisure,First Class,MAN to SAN via LHR,December 2016,4.0,5.0,4.0,4.0,4.0,,4,yes
Boeing 777-200ER,Family Leisure,Economy Class,LGW to TPA,November 2016,3.0,4.0,4.0,3.0,5.0,1.0,3,yes
,Family Leisure,Economy Class,DXB to LHR,December 2016,1.0,1.0,1.0,2.0,1.0,,1,no
A380,Solo Leisure,Premium Economy,LAX to LHR,September 2016,5.0,4.0,4.0,5.0,5.0,,5,yes
,Couple Leisure,Economy Class,BUD to LHR,December 2016,5.0,5.0,3.0,,5.0,,5,yes
Boeing 747-400,Couple Leisure,Business Class,FRA to CPT via LHR,December 2016,4.0,5.0,2.0,3.0,4.0,,4,yes
Boeing 787,Couple Leisure,Economy Class,BWI to LHR,December 2016,2.0,3.0,2.0,3.0,1.0,,1,no
,Business,Economy Class,LHR to PRG,December 2016,2.0,3.0,2.0,,2.0,,1,yes
Boeing 787,Couple Leisure,Premium Economy,BKK to LHR,December 2016,4.0,4.0,2.0,5.0,4.0,,3,no
,Solo Leisure,Premium Economy,DXB to YYZ via LHR,December 2016,2.0,4.0,2.0,1.0,1.0,,1,no
A320,Business,Economy Class,LHR to CPH,December 2016,1.0,1.0,1.0,1.0,1.0,1.0,1,no
Boeing 777,Couple Leisure,Economy Class,LGW to ANU,December 2016,3.0,3.0,1.0,2.0,1.0,1.0,2,no
,Business,Economy Class,KBP to BFS via LHR,December 2016,3.0,5.0,4.0,2.0,1.0,,2,no
Boeing 747-400,Solo Leisure,Economy Class,LHR to CPT,December 2016,4.0,5.0,4.0,5.0,3.0,,5,yes
Boeing 777,Couple Leisure,Premium Economy,BKK to MAN via LHR,December 2016,1.0,1.0,1.0,1.0,1.0,,1,no
Boeing 777-200,Couple Leisure,First Class,UVF to LGW,December 2016,1.0,3.0,2.0,1.0,4.0,,1,no
A320 / Boeing 767,Business,Economy Class,LHR to EDI,December 2016,4.0,3.0,1.0,,4.0,,3,yes
,Couple Leisure,Business Class,LHR to HKG,December 2016,4.0,5.0,5.0,4.0,4.0,,4,yes
Boeing 777,Solo Leisure,Economy Class,LHR to EZE,December 2016,1.0,2.0,2.0,1.0,2.0,,2,no
A380,Solo Leisure,Economy Class,HKG to LHR,December 2016,1.0,3.0,3.0,1.0,3.0,,4,yes
,Couple Leisure,Premium Economy,LHR to BKK,November 2016,3.0,1.0,2.0,1.0,3.0,,2,no
,Couple Leisure,Economy Class,IAD to DEL via LHR,December 2016,3.0,3.0,2.0,3.0,3.0,,3,no
,Business,Premium Economy,SAN to SVQ via LHR,December 2016,4.0,4.0,1.0,4.0,1.0,,1,no
Boeing 777,Family Leisure,Premium Economy,LHR to PHL,October 2016,1.0,1.0,2.0,2.0,1.0,1.0,1,no
Boeing 747,Business,Business Class,DFW to BOM via LHR,November 2016,3.0,2.0,2.0,2.0,3.0,,3,no
Boeing 787-900,Solo Leisure,Business Class,LHR to AUS,December 2016,2.0,4.0,3.0,3.0,4.0,,2,yes
A380,Business,Business Class,LHR to HKG,December 2016,4.0,4.0,4.0,3.0,4.0,,5,yes
,Business,Premium Economy,MAN to PVG via LHR,December 2016,1.0,1.0,1.0,1.0,1.0,1.0,1,no
A380 and Boeing 777,Solo Leisure,Premium Economy,IAD to LHR,December 2016,5.0,5.0,5.0,,5.0,,5,yes
Boeing 787,Business,Business Class,CTU to LHR,December 2016,2.0,3.0,1.0,2.0,2.0,1.0,1,no
,Couple Leisure,Economy Class,LGW to MCO,December 2016,3.0,2.0,1.0,2.0,3.0,,1,no
Boeing 777,Solo Leisure,Premium Economy,LHR to SEA,December 2016,3.0,2.0,2.0,3.0,4.0,,3,yes
,Solo Leisure,Economy Class,MAN to LHR,November 2016,4.0,5.0,4.0,,3.0,,4,yes
,Solo Leisure,Economy Class,LHR to MAN,November 2016,4.0,5.0,4.0,,4.0,,4,yes
,Business,Premium Economy,NBO to LHR,December 2016,2.0,3.0,1.0,3.0,2.0,,1,no
Boeing 777,Solo Leisure,Business Class,SEA to LHR,November 2016,4.0,3.0,3.0,4.0,2.0,,2,yes
Boeing 777-200,Couple Leisure,First Class,LGW to UVF,December 2016,3.0,2.0,1.0,1.0,1.0,,1,no
Boeing 777-300 / A380,Business,Economy Class,SYD to LHR via SIN,December 2016,3.0,2.0,2.0,3.0,4.0,,4,yes
Boeing 747-400,Couple Leisure,Economy Class,LHR to CPT,November 2016,1.0,1.0,1.0,2.0,4.0,2.0,1,no
Boeing 787,Couple Leisure,Premium Economy,LHR to YYC,October 2016,5.0,5.0,3.0,4.0,5.0,4.0,4,yes
A320,Business,Business Class,LHR to LIS,December 2016,1.0,2.0,1.0,1.0,1.0,,1,no
A380 800,Couple Leisure,Economy Class,LHR to HKG,November 2016,1.0,2.0,1.0,4.0,3.0,3.0,2,no
Boeing 777,Family Leisure,Economy Class,LHR to BKK,December 2016,2.0,2.0,2.0,1.0,4.0,1.0,2,no
A321,Couple Leisure,Business Class,LHR to MAD,December 2016,4.0,4.0,4.0,,4.0,,3,yes
Boeing 777,Couple Leisure,Business Class,SIN to  SYD,December 2016,2.0,1.0,2.0,2.0,1.0,,1,no
,Couple Leisure,Economy Class,HKG to LHR,November 2016,1.0,1.0,1.0,1.0,1.0,,1,no
,Couple Leisure,Economy Class,LHR to ARN,December 2016,2.0,4.0,1.0,,4.0,,3,yes
A321,Business,Business Class,LHR to ZRH,November 2016,1.0,2.0,1.0,1.0,3.0,1.0,1,no
,Couple Leisure,Business Class,LGW to MRU,November 2016,2.0,1.0,2.0,2.0,4.0,,1,no
,Solo Leisure,Economy Class,LHR to IST,January 2016,3.0,3.0,3.0,3.0,1.0,,1,no
A380,Family Leisure,Economy Class,LHR to HKG,November 2016,1.0,2.0,,,3.0,,2,no
A380,Business,First Class,SIN to LHR,November 2016,5.0,5.0,5.0,4.0,3.0,,4,yes
Boeing 777-200ER,Solo Leisure,Economy Class,JFK to LHR,November 2016,4.0,4.0,4.0,3.0,4.0,,4,yes
,Couple Leisure,Economy Class,LHR to BHD,October 2016,3.0,4.0,4.0,,3.0,,5,yes
Boeing 777,Business,First Class,LHR to YYZ,November 2016,5.0,5.0,4.0,4.0,5.0,,5,yes
Boeing 787-800,Couple Leisure,Business Class,MAA to LHR,November 2016,5.0,5.0,5.0,3.0,3.0,3.0,3,no
A380,Business,Premium Economy,SIN to LHR,November 2016,5.0,5.0,5.0,4.0,5.0,5.0,5,yes
Boeing 777,Couple Leisure,Economy Class,TLV to LHR,November 2016,3.0,5.0,5.0,4.0,3.0,,4,yes
A320,Solo Leisure,Business Class,RAK to LGW,November 2016,4.0,5.0,3.0,,2.0,,3,yes
,Family Leisure,Economy Class,SYD to SIN,November 2016,4.0,2.0,1.0,3.0,1.0,,1,no
,Business,Economy Class,AMS to LHR,November 2016,1.0,1.0,1.0,1.0,1.0,,1,no
Boeing 747-400,Solo Leisure,First Class,LHR to SFO,April 2016,3.0,3.0,3.0,3.0,2.0,,3,no
Boeing 777-200,Family Leisure,Economy Class,LHR to YYZ,October 2016,3.0,4.0,3.0,3.0,5.0,,4,yes
Boeing 747-400,Business,Business Class,DUS to BOS via LHR,November 2016,3.0,5.0,2.0,5.0,3.0,,2,no
A380,Business,First Class,LHR to SIN,November 2016,5.0,5.0,5.0,4.0,5.0,,5,yes
,Business,Premium Economy,LHR to DEL,August 2016,1.0,1.0,1.0,1.0,1.0,1.0,1,no
,Couple Leisure,Economy Class,RAK to LGW,November 2016,1.0,5.0,2.0,,1.0,,1,no
A320,Business,Economy Class,LHR to BHD,November 2016,4.0,5.0,4.0,,5.0,,3,yes
Boeing 737,Solo Leisure,Economy Class,LHR to KBP,November 2016,3.0,4.0,3.0,2.0,4.0,2.0,4,yes
Boeing 747-400,Solo Leisure,First Class,LHR to LAS,November 2016,5.0,5.0,5.0,2.0,4.0,,4,yes
Various,Business,Economy Class,BKK to LHR via LAD & ABV,August 2016,1.0,1.0,2.0,1.0,2.0,,1,no
,Family Leisure,Economy Class,LHR to IAH,August 2016,1.0,2.0,2.0,4.0,2.0,,2,no
,Couple Leisure,Premium Economy,LGW to ANU,September 2016,3.0,1.0,1.0,2.0,3.0,,1,no
A321,Business,Economy Class,LHR to DME,November 2016,3.0,2.0,1.0,4.0,4.0,,4,yes
Boeing 777,Business,Economy Class,LGW to BGI,October 2016,2.0,1.0,1.0,2.0,4.0,,1,no
A380,Couple Leisure,First Class,JNB to LHR,November 2016,5.0,3.0,1.0,3.0,2.0,,1,no
A380,Couple Leisure,Premium Economy,MIA to LHR,November 2016,5.0,4.0,4.0,5.0,3.0,,4,yes
Boeing 787-900,Couple Leisure,Premium Economy,LHR to BWI,November 2016,5.0,5.0,4.0,5.0,5.0,,5,yes
A320,Solo Leisure,Economy Class,SOF to LHR,November 2016,1.0,2.0,1.0,,1.0,,1,no
Boeing 787-800 / 777-200,Couple Leisure,First Class,YYZ to LHR,November 2016,4.0,4.0,1.0,4.0,1.0,,2,no
,Business,Economy Class,LHR to KUL,October 2016,3.0,4.0,3.0,4.0,2.0,,3,yes
,Business,Business Class,CPT to DUR,November 2016,1.0,2.0,1.0,,3.0,,1,no
A380,Couple Leisure,First Class,LHR to IAD,November 2016,5.0,5.0,4.0,4.0,5.0,,4,yes
,Family Leisure,Economy Class,BCN to LHR,November 2016,2.0,2.0,2.0,1.0,1.0,,4,no
Boeing 747-400,Couple Leisure,First Class,DFW to LHR,November 2016,5.0,5.0,4.0,4.0,4.0,,4,yes
,Solo Leisure,Economy Class,LHR to TXL,September 2016,3.0,5.0,2.0,,5.0,,3,yes
A320,Business,Economy Class,LHR to LIS,November 2016,5.0,2.0,1.0,,1.0,,2,no
A380-800,Family Leisure,Economy Class,LHR to MIA,October 2016,3.0,3.0,1.0,1.0,2.0,,2,no
A320,Business,Economy Class,LIS to LHR,November 2016,5.0,5.0,5.0,,5.0,,5,yes
Boeing 787,Family Leisure,First Class,LHR to DXB,November 2016,3.0,4.0,2.0,3.0,2.0,,2,no
Boeing 777,Couple Leisure,First Class,DXB to LHR,November 2016,3.0,4.0,1.0,3.0,2.0,,2,no
A320,Solo Leisure,Business Class,LGW to ALC,November 2016,2.0,2.0,3.0,,3.0,,3,yes
Boeing 777-200,Solo Leisure,Premium Economy,LHR to BKK,November 2016,2.0,2.0,1.0,1.0,2.0,1.0,2,no
Boeing 777,Couple Leisure,Premium Economy,LGW to BGI,November 2016,1.0,1.0,1.0,3.0,1.0,,1,no
,Solo Leisure,Economy Class,DUB to LCY,October 2016,5.0,5.0,4.0,,5.0,,3,yes
Boeing 747-400 / A380,Solo Leisure,Economy Class,JNB to CLT via LHR,November 2016,1.0,1.0,3.0,2.0,1.0,,3,no
A380,Couple Leisure,First Class,LHR to LAX,October 2016,5.0,5.0,5.0,5.0,4.0,,5,yes
Boeing 777,Couple Leisure,Premium Economy,MRU to LGW,November 2016,2.0,1.0,1.0,1.0,3.0,,1,no
A320,Solo Leisure,Economy Class,ATH to LHR,November 2016,3.0,5.0,1.0,,5.0,,1,no
Boeing 787-9,Couple Leisure,First Class,LHR to KUL,October 2016,3.0,4.0,3.0,3.0,4.0,,3,yes
,Solo Leisure,Economy Class,LGW to LIM,August 2016,1.0,1.0,2.0,1.0,3.0,,2,no
Boeing 767-300,Business,Economy Class,LCA to LHR,November 2016,2.0,2.0,1.0,1.0,2.0,,1,no
Boeing 777-200,Family Leisure,Business Class,LGW to MCO,November 2016,1.0,1.0,1.0,1.0,1.0,1.0,1,no
Boeing 777,Solo Leisure,Economy Class,LHR to BKK,November 2016,3.0,4.0,1.0,3.0,3.0,,3,yes
A319,Business,Business Class,LHR to GVA,November 2016,2.0,5.0,1.0,,4.0,,2,no
A380-800,Couple Leisure,Economy Class,LHR to LAX,October 2016,4.0,5.0,4.0,4.0,4.0,,4,yes
Boeing 777,Couple Leisure,Premium Economy,UVF  to LGW,November 2016,2.0,2.0,1.0,2.0,5.0,,1,no
,Couple Leisure,Economy Class,LHR to BOS,October 2016,2.0,3.0,2.0,4.0,4.0,3.0,2,no
A319,Family Leisure,Economy Class,LGW to VLC,October 2016,3.0,4.0,3.0,,4.0,,4,yes
,Solo Leisure,Economy Class,LGW to SVQ via MAD,November 2016,3.0,4.0,2.0,1.0,3.0,,1,no
Boeing 747-400,Couple Leisure,Economy Class,LHR to JFK,October 2016,2.0,3.0,2.0,3.0,1.0,,3,no
A320,Business,Business Class,LHR to OTP,October 2016,2.0,4.0,1.0,,2.0,,1,no
Boeing 787,Solo Leisure,Economy Class,ICN to LHR,October 2016,4.0,5.0,5.0,5.0,4.0,,4,yes
A380 and Boeing 737-800,Solo Leisure,Economy Class,LHR to CPT via JNB,October 2016,4.0,5.0,4.0,4.0,3.0,,5,yes
A380,Couple Leisure,Business Class,HKG to LHR,October 2016,3.0,3.0,2.0,1.0,3.0,,2,no
Boeing 747-400,Solo Leisure,Business Class,LHR to ORD,October 2016,5.0,5.0,5.0,5.0,5.0,,5,yes
Boeing 747-400,Solo Leisure,Economy Class,YVR to LHR,October 2016,3.0,2.0,1.0,2.0,2.0,,2,no
,Couple Leisure,Economy Class,LHR to AGP,October 2016,3.0,4.0,1.0,,2.0,,3,yes
A380,Couple Leisure,Premium Economy,LHR to MIA,October 2016,4.0,5.0,4.0,1.0,5.0,,4,yes
"Boeing 747-400,  A320, A319",Solo Leisure,Economy Class,KWI to EDI via LHR,October 2016,5.0,5.0,4.0,5.0,5.0,,5,yes
,Business,Economy Class,EDI to LGW,October 2016,3.0,5.0,3.0,,5.0,,5,yes
,Business,Premium Economy,SIN to BCN via LHR,October 2016,3.0,1.0,2.0,2.0,2.0,,3,no
A319,Business,Business Class,LHR to BRU,October 2016,1.0,1.0,1.0,1.0,1.0,,1,no
,Couple Leisure,Economy Class,ATH to LHR,October 2016,3.0,5.0,1.0,,3.0,,1,no
A320,Business,Business Class,MLA to LGW,October 2016,3.0,5.0,3.0,,1.0,,3,yes
Boeing 777-200,Couple Leisure,Business Class,BKK to LHR,October 2016,3.0,3.0,2.0,3.0,3.0,,3,no
A319,Family Leisure,Business Class,LGW to Pisa,October 2016,1.0,4.0,2.0,,1.0,,1,no
,Solo Leisure,Premium Economy,CNX  to LHR via BKK,September 2016,3.0,4.0,3.0,2.0,1.0,,2,no
Boeing 747 400,Couple Leisure,Business Class,LHR to LAX,September 2016,5.0,3.0,4.0,2.0,5.0,,4,yes
Boeing 777-300,Business,Premium Economy,HND to LHR,October 2016,2.0,2.0,1.0,3.0,3.0,,2,no
Boeing 747,Solo Leisure,First Class,LHR to BOS,October 2016,4.0,4.0,3.0,4.0,4.0,3.0,4,yes
A380,Couple Leisure,Economy Class,SFO to MAN via LHR,October 2016,2.0,1.0,1.0,1.0,1.0,,1,no
Boeing 777-200,Couple Leisure,Economy Class,LHR to SFO,October 2016,1.0,1.0,2.0,1.0,2.0,,1,no
A380,Business,First Class,LHR to SIN,October 2016,4.0,4.0,3.0,3.0,1.0,,1,no
,Solo Leisure,Economy Class,BRI to LGW,October 2016,1.0,1.0,1.0,,3.0,,1,no
"Boeing 747, A380",Business,First Class,JNB to ATH via LHR,June 2016,3.0,4.0,2.0,3.0,4.0,,1,no
,Solo Leisure,Economy Class,BKK to LHR,September 2016,2.0,2.0,3.0,1.0,3.0,,2,no
A320,Couple Leisure,Business Class,LGW to MLA,October 2016,1.0,1.0,3.0,,1.0,,1,no
,Solo Leisure,Premium Economy,SYD to LHR via SIN,October 2016,2.0,1.0,1.0,2.0,2.0,,1,no
,Solo Leisure,Business Class,JFK to LHR,October 2016,1.0,3.0,1.0,1.0,1.0,,1,no
A319,Family Leisure,Economy Class,LGW to NCE,October 2016,3.0,3.0,2.0,,3.0,,3,no
Boeing 787-9,Solo Leisure,First Class,LHR to KUL,August 2016,4.0,1.0,1.0,1.0,2.0,,2,no
A321-200,Solo Leisure,Economy Class,PMI to LHR,October 2016,5.0,5.0,5.0,,5.0,,5,yes
Boeing 787,Couple Leisure,Economy Class,LHR to ICN,October 2016,1.0,4.0,4.0,5.0,3.0,4.0,3,no
Boeing 777 / A320,Couple Leisure,Economy Class,SEA to PRG via LHR,September 2016,3.0,1.0,1.0,3.0,1.0,,2,no
A380,Family Leisure,Economy Class,SIN to LHR,August 2016,1.0,2.0,1.0,1.0,2.0,2.0,2,no
,Solo Leisure,Economy Class,LHR to BUD,October 2016,1.0,1.0,1.0,,1.0,,1,no
A380,Couple Leisure,First Class,IAD to NBO via LHR,September 2016,2.0,4.0,4.0,3.0,2.0,,3,no
A320,Family Leisure,Economy Class,AGP to LGW,October 2016,2.0,4.0,1.0,,4.0,,1,no
Boeing 777,Couple Leisure,Business Class,LGW to MRU,October 2016,3.0,4.0,2.0,,4.0,,2,no
,Solo Leisure,Economy Class,DBV to LGW,October 2016,2.0,4.0,1.0,1.0,2.0,1.0,2,no
Boeing 787-8 / A320,Couple Leisure,Business Class,YYC to FCO via LHR,October 2016,2.0,5.0,5.0,3.0,1.0,,1,no
,Couple Leisure,Economy Class,LHR to GVA,October 2016,4.0,2.0,3.0,3.0,2.0,,3,no
,Family Leisure,Economy Class,LCY to AGP,September 2016,3.0,3.0,2.0,,1.0,,1,no
Boeing 747-400,Solo Leisure,Economy Class,LHR to DEN,October 2016,3.0,2.0,1.0,1.0,3.0,,3,yes
Boeing 777,Business,First Class,DXB to DUB via LHR,July 2016,4.0,4.0,2.0,2.0,1.0,1.0,1,no
Boeing 747-400,Couple Leisure,Economy Class,LAS to LHR,October 2016,2.0,2.0,2.0,1.0,4.0,1.0,1,no
Boeing 747,Solo Leisure,Economy Class,BOS to LHR,October 2016,4.0,5.0,4.0,4.0,2.0,,4,yes
A320,Solo Leisure,Economy Class,LHR to LIS,October 2016,5.0,5.0,4.0,,4.0,,5,yes
Boeing 777 / 747,Business,Premium Economy,YYZ to LIS via LHR,May 2016,3.0,4.0,1.0,1.0,4.0,,3,no
Boeing 777,Couple Leisure,Premium Economy,LHR to ATL,October 2016,3.0,2.0,3.0,3.0,2.0,,3,no
Boeing 777,Couple Leisure,Economy Class,BOS to LHR,September 2016,3.0,4.0,2.0,5.0,1.0,,4,yes
,Business,Economy Class,JFK to DUS via LHR,October 2016,3.0,2.0,3.0,4.0,2.0,,2,no
A380,Couple Leisure,Business Class,JNB to LHR,September 2016,1.0,2.0,1.0,1.0,3.0,1.0,2,no
A319,Couple Leisure,Economy Class,LHR to BGO,September 2016,3.0,4.0,3.0,,3.0,,3,yes
Boeing 777,Couple Leisure,Economy Class,LGW to MRU,September 2016,3.0,1.0,1.0,2.0,3.0,,2,no
,Couple Leisure,Business Class,CDG to BKK via LHR,September 2016,1.0,1.0,1.0,,4.0,,3,no
,Couple Leisure,Economy Class,GLA to ZRH via LCY,July 2016,3.0,3.0,3.0,1.0,1.0,1.0,1,no
Boeing 767,Family Leisure,Economy Class,LCA to LHR,September 2016,3.0,3.0,3.0,1.0,2.0,,2,no
A380,Couple Leisure,First Class,SIN to LHR,September 2016,4.0,5.0,4.0,,4.0,,4,yes
Boeing 777,Family Leisure,Economy Class,SJO to LGW,September 2016,1.0,3.0,1.0,1.0,3.0,1.0,3,no
Boeing 777-200,Couple Leisure,Business Class,LHR to BKK,September 2016,3.0,3.0,2.0,3.0,5.0,,3,no
Boeing 777,Couple Leisure,First Class,MEL to SIN via SYD,September 2016,3.0,4.0,4.0,4.0,5.0,,4,yes
Boeing 767,Couple Leisure,Business Class,LHR to AMS,September 2016,3.0,4.0,3.0,,5.0,,4,yes
Boeing 787,Solo Leisure,Premium Economy,SJC to LHR,September 2016,4.0,3.0,3.0,4.0,1.0,,4,yes
A319,Solo Leisure,Economy Class,LGW to OPO,September 2016,4.0,4.0,2.0,,3.0,,4,yes
Boeing 747-400 / 777,Solo Leisure,Business Class,BAH to BOS via LHR,September 2016,2.0,2.0,3.0,2.0,3.0,,3,no
Boeing 777,Solo Leisure,Business Class,LGW to JFK,September 2016,2.0,5.0,4.0,4.0,3.0,,4,yes
A320,Couple Leisure,Economy Class,LHR to KGS,September 2016,3.0,5.0,3.0,,4.0,,4,yes
A380,Couple Leisure,Economy Class,LHR to JNB,September 2016,4.0,5.0,3.0,4.0,4.0,,5,yes
Boeing 777-300,Business,Premium Economy,ATL to GVA via LHR,September 2016,2.0,5.0,1.0,1.0,1.0,1.0,1,no
Boeing 777-300,Couple Leisure,Economy Class,ATL to LHR,September 2016,1.0,2.0,1.0,4.0,1.0,,1,no
Boeing 787,Business,Premium Economy,AUH to LHR,September 2016,4.0,4.0,4.0,4.0,3.0,,4,yes
Boeing 777-200,Family Leisure,Premium Economy,London to JFK,September 2016,2.0,2.0,1.0,1.0,3.0,,2,no
A380,Business,Economy Class,LHR to JNB,September 2016,3.0,2.0,3.0,2.0,3.0,,2,yes
Boeing 787,Family Leisure,Economy Class,AUH to LHR,September 2016,2.0,1.0,2.0,3.0,1.0,,3,no
